Year,Mississippi.River.LD1,Kanopolis,Homme,Benbrook,Whitney,Grapevine,Belton,Lewisville,Pomme.De.Terre,Pomona,Salt.Creek.8...Wagon.Train,W..Kerr.Scott,Salt.Creek.9...Stagecoach,Canyon,Salt.Creek.13...Twin.Lakes,Salt.Creek.14...Pawnee,Bardwell,Sam.Rayburn,Milford,Somerville,Eau.Galle,Stillhouse.Hollow,Bowman.Haley,Melvern,AnchorReservoirandDam,FolsomLakeDamandPowerplant,LakeSherburneandDam,LakeTschidaandHeartButteDam,LewistonLakeDamandPowerplant,RuediReservoirandDam,SpringCreekReservoirandDebrisDam,StarvationReservoirandDam,WhiskeytownLakeandDam
1973,728.93,1490.5,1080.5,696.99,537.65,538.08,595.9,520.01,862.33,988.99,1295.4,1043.8,1279,917.3,1344.1,1246.7,431.75,167.7,1169.92,244.55,943.27,624.57,2756.39,1032.54,6392.63,464.59,4779.42,2069.2,1901.78,7767.56,789.94,5712.38,1209.76
1974,728.24,1477.77,1086.5,700.47,539.3,549.75,606.73,529.32,851.35,979.09,1288.4,1041,1271.7,910.42,1341.7,1245.1,426.93,172.17,1147.05,245.81,942.25,635.67,2755.6,1034.29,6397.59,462.85,4787.52,2064.25,1902.23,7766.7,790.59,5707.44,1213.69
1975,731.3,1471.23,1080.97,702.48,535.68,539.6,601.93,520.84,846.92,985.4,1288.2,1045.9,1271.6,914.78,1341.5,1244.7,428.45,167.43,1148.68,247.08,945.87,631.99,2757.47,1039.97,6415.21,461.28,4787.09,2073.8,1902.17,7767,777.84,5712.37,1209.73
1976,728.12,1468.71,1081.09,697.5,533.37,531.81,599.13,519.79,843.19,975.34,1287.5,1044.35,1272.1,909.33,1339.9,1243.8,425.57,164.1,1147.67,244.15,941.97,625.27,2755.07,1036.81,6377.84,431.52,4786.68,2065.77,1901.99,7758.03,751.2,5712.08,1209.62
1977,726.65,1469.44,1076.9,703.54,539.7,542.5,606.71,525.39,846.8,988.36,1287.9,1061.05,1268.5,917.81,1337.6,1244.6,426.64,163.43,1149.27,247.35,948.4,637.26,2755.1,1047.07,6364.2,388.1,4756.98,2068,1902.05,7749.97,750.62,5712.25,1209.84
1978,728.7,1466.28,1082.73,691.96,533.49,528.59,591.5,511,846.31,980.33,1291.2,1041.3,1273.7,930.61,1342.2,1245.7,419.93,160.13,1147.08,238.34,947.19,621.38,2762.66,1040.55,6413.23,460,4787.75,2083.77,1901.95,7766.69,802.53,5712.45,1212.64
1979,730.35,1475.38,1084.58,701,538.58,535.52,602.89,518.67,852.34,981.74,1291.1,1044.15,1275.2,912.62,1343.6,1246.2,425.61,168.92,1152.36,248.52,943.58,629.38,2756.41,1040.16,6370.19,464.46,4781.19,2069.3,1901.97,7765.42,795.27,5704.77,1209.65
1980,726.92,1472.73,1080.9,695.49,532.85,530.02,600.3,509.35,846.45,983.77,1289.4,1044.8,1272.5,907.4,1342.8,1246,423.61,168.14,1151.79,240.68,954.2,628.75,2754.6,1042.49,6403.71,454.78,4787.86,2064.12,1901.93,7763.05,796.57,5712.47,1209.69
1981,727,1471.56,1080.82,703.62,547.81,563.29,601.42,536.46,849.7,983.1,1286.1,1037.5,1271,919.19,1337.3,1244.3,430.05,156.94,1147.51,240.06,941.54,633.83,2751.59,1040.98,6407.55,461.32,4787.84,2061.72,1901.89,7766.65,797.53,5712.28,1209.58
1982,729.8,1470.12,1081,704.53,540.59,558.28,595.54,535.25,851.23,990.23,1290.1,1037.8,1274.2,909.22,1342.6,1246.4,424.14,165.1,1150.61,242.82,944.37,623.56,2757.77,1049.02,6368.99,465.03,4768.7,2073.7,1902,7764.84,767.68,5712.52,1209.84
